timepoint_id,purchase_power_price
1,126.6246
2,126.6246
3,126.6246
4,126.6246
5,126.6246
6,126.6246
7,126.6246
8,126.6246
9,126.6246
10,126.6246
11,126.6246
12,126.6246
13,126.6246
14,126.6246
15,126.6246
16,126.6246
17,126.6246
18,126.6246
19,126.6246
20,126.6246
21,126.6246
22,126.6246
23,126.6246
24,126.6246
25,126.6246
26,126.6246
27,126.6246
28,126.6246
29,126.6246
30,126.6246
31,126.6246
32,126.6246
33,126.6246
34,126.6246
35,126.6246
36,126.6246
37,126.6246
38,126.6246
39,126.6246
40,126.6246
41,126.6246
42,126.6246
43,126.6246
44,126.6246
45,126.6246
46,126.6246
47,126.6246
48,126.6246
49,126.6246
50,126.6246
51,126.6246
52,126.6246
53,126.6246
54,126.6246
55,126.6246
56,126.6246
57,126.6246
58,126.6246
59,126.6246
60,126.6246
61,126.6246
62,126.6246
63,126.6246
64,126.6246
65,126.6246
66,126.6246
67,126.6246
68,126.6246
69,126.6246
70,126.6246
71,126.6246
72,126.6246
73,126.6246
74,126.6246
75,126.6246
76,126.6246
77,126.6246
78,126.6246
79,126.6246
80,126.6246
81,126.6246
82,126.6246
83,126.6246
84,126.6246
85,126.6246
86,126.6246
87,126.6246
88,126.6246
89,126.6246
90,126.6246
91,126.6246
92,126.6246
93,126.6246
94,126.6246
95,126.6246
96,126.6246
97,126.6246
98,126.6246
99,126.6246
100,126.6246
101,126.6246
102,126.6246
103,126.6246
104,126.6246
105,126.6246
106,126.6246
107,126.6246
108,126.6246
109,126.6246
110,126.6246
111,126.6246
112,126.6246
113,126.6246
114,126.6246
115,126.6246
116,126.6246
117,126.6246
118,126.6246
119,126.6246
120,126.6246
121,126.6246
122,126.6246
123,126.6246
124,126.6246
125,126.6246
126,126.6246
127,126.6246
128,126.6246
129,126.6246
130,126.6246
131,126.6246
132,126.6246
133,126.6246
134,126.6246
135,126.6246
136,126.6246
137,126.6246
138,126.6246
139,126.6246
140,126.6246
141,126.6246
142,126.6246
143,126.6246
144,126.6246
145,126.6246
146,126.6246
147,126.6246
148,126.6246
149,126.6246
150,126.6246
151,126.6246
152,126.6246
153,126.6246
154,126.6246
155,126.6246
156,126.6246
157,126.6246
158,126.6246
159,126.6246
160,126.6246
161,126.6246
162,126.6246
163,126.6246
164,126.6246
165,126.6246
166,126.6246
167,126.6246
168,126.6246
169,126.6246
170,126.6246
171,126.6246
172,126.6246
173,126.6246
174,126.6246
175,126.6246
176,126.6246
177,126.6246
178,126.6246
179,126.6246
180,126.6246
181,126.6246
182,126.6246
183,126.6246
184,126.6246
185,126.6246
186,126.6246
187,126.6246
188,126.6246
189,126.6246
190,126.6246
191,126.6246
192,126.6246
193,126.6246
194,126.6246
195,126.6246
196,126.6246
197,126.6246
198,126.6246
199,126.6246
200,126.6246
201,126.6246
202,126.6246
203,126.6246
204,126.6246
205,126.6246
206,126.6246
207,126.6246
208,126.6246
209,126.6246
210,126.6246
211,126.6246
212,126.6246
213,126.6246
214,126.6246
215,126.6246
216,126.6246
217,126.6246
218,126.6246
219,126.6246
220,126.6246
221,126.6246
222,126.6246
223,126.6246
224,126.6246
225,126.6246
226,126.6246
227,126.6246
228,126.6246
229,126.6246
230,126.6246
231,126.6246
232,126.6246
233,126.6246
234,126.6246
235,126.6246
236,126.6246
237,126.6246
238,126.6246
239,126.6246
240,126.6246
241,126.6246
242,126.6246
243,126.6246
244,126.6246
245,126.6246
246,126.6246
247,126.6246
248,126.6246
249,126.6246
250,126.6246
251,126.6246
252,126.6246
253,126.6246
254,126.6246
255,126.6246
256,126.6246
257,126.6246
258,126.6246
259,126.6246
260,126.6246
261,126.6246
262,126.6246
263,126.6246
264,126.6246
265,126.6246
266,126.6246
267,126.6246
268,126.6246
269,126.6246
270,126.6246
271,126.6246
272,126.6246
273,126.6246
274,126.6246
275,126.6246
276,126.6246
277,126.6246
278,126.6246
279,126.6246
280,126.6246
281,126.6246
282,126.6246
283,126.6246
284,126.6246
285,126.6246
286,126.6246
287,126.6246
288,126.6246
289,114.389
290,114.389
291,114.389
292,114.389
293,114.389
294,114.389
295,114.389
296,114.389
297,114.389
298,114.389
299,114.389
300,114.389
301,114.389
302,114.389
303,114.389
304,114.389
305,114.389
306,114.389
307,114.389
308,114.389
309,114.389
310,114.389
311,114.389
312,114.389
313,114.389
314,114.389
315,114.389
316,114.389
317,114.389
318,114.389
319,114.389
320,114.389
321,114.389
322,114.389
323,114.389
324,114.389
325,114.389
326,114.389
327,114.389
328,114.389
329,114.389
330,114.389
331,114.389
332,114.389
333,114.389
334,114.389
335,114.389
336,114.389
337,114.389
338,114.389
339,114.389
340,114.389
341,114.389
342,114.389
343,114.389
344,114.389
345,114.389
346,114.389
347,114.389
348,114.389
349,114.389
350,114.389
351,114.389
352,114.389
353,114.389
354,114.389
355,114.389
356,114.389
357,114.389
358,114.389
359,114.389
360,114.389
361,114.389
362,114.389
363,114.389
364,114.389
365,114.389
366,114.389
367,114.389
368,114.389
369,114.389
370,114.389
371,114.389
372,114.389
373,114.389
374,114.389
375,114.389
376,114.389
377,114.389
378,114.389
379,114.389
380,114.389
381,114.389
382,114.389
383,114.389
384,114.389
385,114.389
386,114.389
387,114.389
388,114.389
389,114.389
390,114.389
391,114.389
392,114.389
393,114.389
394,114.389
395,114.389
396,114.389
397,114.389
398,114.389
399,114.389
400,114.389
401,114.389
402,114.389
403,114.389
404,114.389
405,114.389
406,114.389
407,114.389
408,114.389
409,114.389
410,114.389
411,114.389
412,114.389
413,114.389
414,114.389
415,114.389
416,114.389
417,114.389
418,114.389
419,114.389
420,114.389
421,114.389
422,114.389
423,114.389
424,114.389
425,114.389
426,114.389
427,114.389
428,114.389
429,114.389
430,114.389
431,114.389
432,114.389
433,114.389
434,114.389
435,114.389
436,114.389
437,114.389
438,114.389
439,114.389
440,114.389
441,114.389
442,114.389
443,114.389
444,114.389
445,114.389
446,114.389
447,114.389
448,114.389
449,114.389
450,114.389
451,114.389
452,114.389
453,114.389
454,114.389
455,114.389
456,114.389
457,114.389
458,114.389
459,114.389
460,114.389
461,114.389
462,114.389
463,114.389
464,114.389
465,114.389
466,114.389
467,114.389
468,114.389
469,114.389
470,114.389
471,114.389
472,114.389
473,114.389
474,114.389
475,114.389
476,114.389
477,114.389
478,114.389
479,114.389
480,114.389
481,114.389
482,114.389
483,114.389
484,114.389
485,114.389
486,114.389
487,114.389
488,114.389
489,114.389
490,114.389
491,114.389
492,114.389
493,114.389
494,114.389
495,114.389
496,114.389
497,114.389
498,114.389
499,114.389
500,114.389
501,114.389
502,114.389
503,114.389
504,114.389
505,114.389
506,114.389
507,114.389
508,114.389
509,114.389
510,114.389
511,114.389
512,114.389
513,114.389
514,114.389
515,114.389
516,114.389
517,114.389
518,114.389
519,114.389
520,114.389
521,114.389
522,114.389
523,114.389
524,114.389
525,114.389
526,114.389
527,114.389
528,114.389
529,114.389
530,114.389
531,114.389
532,114.389
533,114.389
534,114.389
535,114.389
536,114.389
537,114.389
538,114.389
539,114.389
540,114.389
541,114.389
542,114.389
543,114.389
544,114.389
545,114.389
546,114.389
547,114.389
548,114.389
549,114.389
550,114.389
551,114.389
552,114.389
553,114.389
554,114.389
555,114.389
556,114.389
557,114.389
558,114.389
559,114.389
560,114.389
561,114.389
562,114.389
563,114.389
564,114.389
565,114.389
566,114.389
567,114.389
568,114.389
569,114.389
570,114.389
571,114.389
572,114.389
573,114.389
574,114.389
575,114.389
576,114.389
577,81.8965
578,81.8965
579,81.8965
580,81.8965
581,81.8965
582,81.8965
583,81.8965
584,81.8965
585,81.8965
586,81.8965
587,81.8965
588,81.8965
589,81.8965
590,81.8965
591,81.8965
592,81.8965
593,81.8965
594,81.8965
595,81.8965
596,81.8965
597,81.8965
598,81.8965
599,81.8965
600,81.8965
601,81.8965
602,81.8965
603,81.8965
604,81.8965
605,81.8965
606,81.8965
607,81.8965
608,81.8965
609,81.8965
610,81.8965
611,81.8965
612,81.8965
613,81.8965
614,81.8965
615,81.8965
616,81.8965
617,81.8965
618,81.8965
619,81.8965
620,81.8965
621,81.8965
622,81.8965
623,81.8965
624,81.8965
625,81.8965
626,81.8965
627,81.8965
628,81.8965
629,81.8965
630,81.8965
631,81.8965
632,81.8965
633,81.8965
634,81.8965
635,81.8965
636,81.8965
637,81.8965
638,81.8965
639,81.8965
640,81.8965
641,81.8965
642,81.8965
643,81.8965
644,81.8965
645,81.8965
646,81.8965
647,81.8965
648,81.8965
649,81.8965
650,81.8965
651,81.8965
