timepoint_id,purchase_power_price
1,119.9065
2,119.9065
3,119.9065
4,119.9065
5,119.9065
6,119.9065
7,119.9065
8,119.9065
9,119.9065
10,119.9065
11,119.9065
12,119.9065
13,119.9065
14,119.9065
15,119.9065
16,119.9065
17,119.9065
18,119.9065
19,119.9065
20,119.9065
21,119.9065
22,119.9065
23,119.9065
24,119.9065
25,119.9065
26,119.9065
27,119.9065
28,119.9065
29,119.9065
30,119.9065
31,119.9065
32,119.9065
33,119.9065
34,119.9065
35,119.9065
36,119.9065
37,119.9065
38,119.9065
39,119.9065
40,119.9065
41,119.9065
42,119.9065
43,119.9065
44,119.9065
45,119.9065
46,119.9065
47,119.9065
48,119.9065
49,119.9065
50,119.9065
51,119.9065
52,119.9065
53,119.9065
54,119.9065
55,119.9065
56,119.9065
57,119.9065
58,119.9065
59,119.9065
60,119.9065
61,119.9065
62,119.9065
63,119.9065
64,119.9065
65,119.9065
66,119.9065
67,119.9065
68,119.9065
69,119.9065
70,119.9065
71,119.9065
72,119.9065
73,119.9065
74,119.9065
75,119.9065
76,119.9065
77,119.9065
78,119.9065
79,119.9065
80,119.9065
81,119.9065
82,119.9065
83,119.9065
84,119.9065
85,119.9065
86,119.9065
87,119.9065
88,119.9065
89,119.9065
90,119.9065
91,119.9065
92,119.9065
93,119.9065
94,119.9065
95,119.9065
96,119.9065
97,119.9065
98,119.9065
99,119.9065
100,119.9065
101,119.9065
102,119.9065
103,119.9065
104,119.9065
105,119.9065
106,119.9065
107,119.9065
108,119.9065
109,119.9065
110,119.9065
111,119.9065
112,119.9065
113,119.9065
114,119.9065
115,119.9065
116,119.9065
117,119.9065
118,119.9065
119,119.9065
120,119.9065
121,119.9065
122,119.9065
123,119.9065
124,119.9065
125,119.9065
126,119.9065
127,119.9065
128,119.9065
129,119.9065
130,119.9065
131,119.9065
132,119.9065
133,119.9065
134,119.9065
135,119.9065
136,119.9065
137,119.9065
138,119.9065
139,119.9065
140,119.9065
141,119.9065
142,119.9065
143,119.9065
144,119.9065
145,119.9065
146,119.9065
147,119.9065
148,119.9065
149,119.9065
150,119.9065
