PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,0.0,0.0
2020,StorageEnergyInstallCosts,annual,0.0,0.0
2020,EmissionsCosts,annual,0.0,0.0
2020,DemandCharges,annual,18052366.640624605,3906560.338582499
2025,TotalGenFixedCosts,annual,0.0,0.0
2025,StorageEnergyInstallCosts,annual,0.0,0.0
2025,EmissionsCosts,annual,0.0,0.0
2025,DemandCharges,annual,21195202.33283631,5064059.698162485
2030,TotalGenFixedCosts,annual,0.0,0.0
2030,StorageEnergyInstallCosts,annual,0.0,0.0
2030,EmissionsCosts,annual,0.0,0.0
2030,DemandCharges,annual,24682047.137265556,6510933.897637485
2035,TotalGenFixedCosts,annual,0.0,0.0
2035,StorageEnergyInstallCosts,annual,0.0,0.0
2035,EmissionsCosts,annual,0.0,0.0
2035,DemandCharges,annual,29695181.371209092,8648662.500000024
2020,GenVariableOMCostsInTP,timepoint,0.0,0.0
2020,FuelCostsPerTP,timepoint,0.0,0.0
2020,PurchasedPowerCost,timepoint,35666845.66876894,7718361.1138497675
2020,NonEnergyCharge,timepoint,36672513.61049182,7935989.227278255
2025,GenVariableOMCostsInTP,timepoint,0.0,0.0
2025,FuelCostsPerTP,timepoint,0.0,0.0
2025,PurchasedPowerCost,timepoint,37186879.38123701,8884868.104476904
2025,NonEnergyCharge,timepoint,47306225.22900744,11302630.892240988
2030,GenVariableOMCostsInTP,timepoint,0.0,0.0
2030,FuelCostsPerTP,timepoint,0.0,0.0
2030,PurchasedPowerCost,timepoint,34138344.80850409,9005432.377095394
2030,NonEnergyCharge,timepoint,58746506.735857956,15496875.925529966
2035,GenVariableOMCostsInTP,timepoint,0.0,0.0
2035,FuelCostsPerTP,timepoint,0.0,0.0
2035,PurchasedPowerCost,timepoint,30845424.30501635,8983668.466225708
2035,NonEnergyCharge,timepoint,68381651.68299618,19916020.017045356
